Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26440621006,1/1/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1431.776009,29.1,19.2,24.15,0.796584326,1013.196
26440621006,1/2/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1554.580024,26.2,2.1,14.15,0.815261656,1012.076
26440621006,1/3/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1445.968007,14.2,2.1,8.15,0.82148917,944.396
26440621006,1/4/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1421.884022,27.1,2.1,14.6,0.810553861,920.224
26440621006,1/5/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1327.888009,37.9,24.3,31.1,0.794508358,913.788
26440621006,1/6/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1617.89604,55.9,29.1,42.5,0.811669823,1024.252
26440621006,1/7/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1619.016033,29.1,9.1,19.1,0.825585045,975.332
26440621006,1/8/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1676.176047,22.1,7.2,14.65,0.83098,961.392
26440621006,1/9/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1638.980027,30.2,19.2,24.7,0.827084448,985.364
26440621006,1/10/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1687.448032,37,18.1,27.55,0.827218896,997.232
26440621006,1/11/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1334.164012,59,34,46.5,0.763132882,1001.42
26440621006,1/12/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1259.684011,54,37,45.5,0.737632292,1014.044
26440621006,1/13/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1538.352017,51.1,31.1,41.1,0.79036659,1038.932
26440621006,1/14/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1555.328022,50,44.1,47.05,0.786291184,1069.932
26440621006,1/15/2014,507115413 1 kWh,BCYF,Curley.Cmty.Ctr,1555.616027,48,35.1,41.55,0.781543233,1082.792
