Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26429741007,01/01/2014,605103693 1 kWh,BFD,Headquarters,1817.055,29.1,19.2,24.15,0.979516882,372.15
26429741007,01/02/2014,605103693 1 kWh,BFD,Headquarters,2123.34752,26.2,2.1,14.15,0.981987767,400.185
26429741007,01/03/2014,605103693 1 kWh,BFD,Headquarters,2058.525022,14.2,2.1,8.15,0.984423083,364.5225
26429741007,01/04/2014,605103693 1 kWh,BFD,Headquarters,1998.540015,27.1,2.1,14.6,0.984191854,356.6025
26429741007,01/05/2014,605103693 1 kWh,BFD,Headquarters,1904.647502,37.9,24.3,31.1,0.982868819,354.9825
26429741007,01/06/2014,605103693 1 kWh,BFD,Headquarters,2140.852541,55.9,29.1,42.5,0.983911399,374.4225
26429741007,01/07/2014,605103693 1 kWh,BFD,Headquarters,2302.402544,29.1,9.1,19.1,0.983587816,404.955
26429741007,01/08/2014,605103693 1 kWh,BFD,Headquarters,2260.147545,22.1,7.2,14.65,0.98309817,409.23
26429741007,01/09/2014,605103693 1 kWh,BFD,Headquarters,2226.645041,30.2,19.2,24.7,0.980389368,441.0225
26429741007,01/10/2014,605103693 1 kWh,BFD,Headquarters,2202.502538,37,18.1,27.55,0.978319549,451.62
26429741007,01/11/2014,605103693 1 kWh,BFD,Headquarters,1764.63,59,34,46.5,0.979361705,361.9575
26429741007,01/12/2014,605103693 1 kWh,BFD,Headquarters,1704.735,54,37,45.5,0.980636063,339.435
26429741007,01/13/2014,605103693 1 kWh,BFD,Headquarters,2046.172535,51.1,31.1,41.1,0.98520591,344.475
26429741007,01/14/2014,605103693 1 kWh,BFD,Headquarters,2061.000032,50,44.1,47.05,0.984620045,357.345
26429741007,01/15/2014,605103693 1 kWh,BFD,Headquarters,2095.447537,48,35.1,41.55,0.984319063,366.39
26429741007,01/16/2014,605103693 1 kWh,BFD,Headquarters,2121.165045,39,33.1,36.05,0.982244104,399.645
26429741007,01/17/2014,605103693 1 kWh,BFD,Headquarters,2186.505045,46,33.1,39.55,0.978453788,454.815
26429741007,01/18/2014,605103693 1 kWh,BFD,Headquarters,1843.425,37.9,32,34.95,0.972715,439.8525
26429741007,01/19/2014,605103693 1 kWh,BFD,Headquarters,1748.925,35.1,30.2,32.65,0.977104156,379.8675
26429741007,01/20/2014,605103693 1 kWh,BFD,Headquarters,1783.057503,41,26.2,33.6,0.975507066,401.175
26429741007,01/21/2014,605103693 1 kWh,BFD,Headquarters,2175.570037,26.2,11.1,18.65,0.980087653,429.4575
26429741007,01/22/2014,605103693 1 kWh,BFD,Headquarters,2162.632539,18.1,7.2,12.65,0.979502816,435.285
26429741007,01/23/2014,605103693 1 kWh,BFD,Headquarters,2246.130049,22.1,6.3,14.2,0.979396486,452.925
26429741007,01/24/2014,605103693 1 kWh,BFD,Headquarters,2170.260037,19.2,7.2,13.2,0.980008271,431.5275
26429741007,01/25/2014,605103693 1 kWh,BFD,Headquarters,1728.675001,37.9,15.3,26.6,0.975144264,391.005
26429741007,01/26/2014,605103693 1 kWh,BFD,Headquarters,1826.820001,26.2,16.2,21.2,0.976160087,405.945
26429741007,01/27/2014,605103693 1 kWh,BFD,Headquarters,2147.35504,46.9,21.2,34.05,0.983135656,391.185
26429741007,01/28/2014,605103693 1 kWh,BFD,Headquarters,2218.657552,21.2,13.1,17.15,0.945272997,406.2825
26429741007,01/29/2014,605103693 1 kWh,BFD,Headquarters,2252.11504,27.1,15.3,21.2,0.98514683,383.2875
26429741007,01/30/2014,605103693 1 kWh,BFD,Headquarters,2219.872542,30.2,16.2,23.2,0.98570616,375.12
