Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
28462160012,1/1/2014,605104115 1 kWh,BPD,Dudley,1503.144,29.1,19.2,24.15,0.963270097,406.386
28462160012,1/2/2014,605104115 1 kWh,BPD,Dudley,1586.034,26.2,2.1,14.15,0.970047052,385.002
28462160012,1/3/2014,605104115 1 kWh,BPD,Dudley,1576.098,14.2,2.1,8.15,0.96731309,399.96
28462160012,1/4/2014,605104115 1 kWh,BPD,Dudley,1507.158,27.1,2.1,14.6,0.971047205,355.482
28462160012,1/5/2014,605104115 1 kWh,BPD,Dudley,1506.654,37.9,24.3,31.1,0.962987931,409.356
28462160012,1/6/2014,605104115 1 kWh,BPD,Dudley,1639.979999,55.9,29.1,42.5,0.955154382,500.418
28462160012,1/7/2014,605104115 1 kWh,BPD,Dudley,1695.851995,29.1,9.1,19.1,0.973705507,377.1
28462160012,1/8/2014,605104115 1 kWh,BPD,Dudley,1696.949998,22.1,7.2,14.65,0.975790948,363.06
28462160012,1/9/2014,605104115 1 kWh,BPD,Dudley,1630.871998,30.2,19.2,24.7,0.969223267,397.89
28462160012,1/10/2014,605104115 1 kWh,BPD,Dudley,1620.341996,37,18.1,27.55,0.96070592,457.524
28462160012,1/11/2014,605104115 1 kWh,BPD,Dudley,1511.1,59,34,46.5,0.941872292,535.842
28462160012,1/12/2014,605104115 1 kWh,BPD,Dudley,1448.424,54,37,45.5,0.939634285,519.372
28462160012,1/13/2014,605104115 1 kWh,BPD,Dudley,1530.216,51.1,31.1,41.1,0.948741479,487.098
28462160012,1/16/2014,605104115 1 kWh,BPD,Dudley,1496.322,39,33.1,36.05,0.950419167,484.434
28462160012,1/17/2014,605104115 1 kWh,BPD,Dudley,1457.946,46,33.1,39.55,0.945549917,496.296
28462160012,1/18/2014,605104115 1 kWh,BPD,Dudley,1461.33,37.9,32,34.95,0.948765014,478.638
28462160012,1/19/2014,605104115 1 kWh,BPD,Dudley,1493.855999,35.1,30.2,32.65,0.954219924,458.298
28462160012,1/20/2014,605104115 1 kWh,BPD,Dudley,1509.444,41,26.2,33.6,0.952725521,475.452
28462160012,1/21/2014,605104115 1 kWh,BPD,Dudley,1619.91,26.2,11.1,18.65,0.964891677,430.038
28462160012,1/22/2014,605104115 1 kWh,BPD,Dudley,1698.857995,18.1,7.2,12.65,0.970617253,406.818
28462160012,1/23/2014,605104115 1 kWh,BPD,Dudley,1746.12599,22.1,6.3,14.2,0.972908347,399.276
28462160012,1/24/2014,605104115 1 kWh,BPD,Dudley,1699.649998,19.2,7.2,13.2,0.970344604,406.638
28462160012,1/25/2014,605104115 1 kWh,BPD,Dudley,1538.334,37.9,15.3,26.6,0.959425931,436.806
28462160012,1/26/2014,605104115 1 kWh,BPD,Dudley,1539.126,26.2,16.2,21.2,0.962415066,418.446
28462160012,1/27/2014,605104115 1 kWh,BPD,Dudley,1618.775998,46.9,21.2,34.05,0.957463889,477.756
28462160012,1/28/2014,605104115 1 kWh,BPD,Dudley,1790.477988,21.2,13.1,17.15,0.961558372,499.968
28462160012,1/29/2014,605104115 1 kWh,BPD,Dudley,1766.627993,27.1,15.3,21.2,0.96104,498.636
28462160012,1/30/2014,605104115 1 kWh,BPD,Dudley,1685.231999,30.2,16.2,23.2,0.962763816,463.14
28462160012,1/31/2014,605104115 1 kWh,BPD,Dudley,1631.556,43,22.1,32.55,0.956484295,490.464
28462160012,2/1/2014,605104115 1 kWh,BPD,Dudley,1487.142,42.1,32,37.05,0.942749378,518.436
28462160012,2/2/2014,605104115 1 kWh,BPD,Dudley,1434.168,55,31.1,43.05,0.934096667,542.466
28462160012,2/3/2014,605104115 1 kWh,BPD,Dudley,1606.229994,41,27.1,34.05,0.954513094,488.592
28462160012,2/4/2014,605104115 1 kWh,BPD,Dudley,1671.407995,35.1,23.2,29.15,0.956285229,503.1
28462160012,2/5/2014,605104115 1 kWh,BPD,Dudley,1605.924,33.1,24.3,28.7,0.950885944,514.278
28462160012,2/6/2014,605104115 1 kWh,BPD,Dudley,1635.641998,28.2,19.2,23.7,0.959174552,475.614
28462160012,2/7/2014,605104115 1 kWh,BPD,Dudley,1604.754,30.2,19.2,24.7,0.960015174,460.008
28462160012,2/8/2014,605104115 1 kWh,BPD,Dudley,1597.013999,29.1,18.1,23.6,0.950905399,510.498
28462160012,2/9/2014,605104115 1 kWh,BPD,Dudley,1612.332,30.2,21.2,25.7,0.947584715,535.05
28462160012,2/10/2014,605104115 1 kWh,BPD,Dudley,1753.271995,30.2,20.1,25.15,0.956401014,525.744
28462160012,2/11/2014,605104115 1 kWh,BPD,Dudley,1761.173992,25.2,14.2,19.7,0.957264601,521.316
28462160012,2/12/2014,605104115 1 kWh,BPD,Dudley,1809.341993,23.2,8.2,15.7,0.95877992,528.462
28462160012,2/13/2014,605104115 1 kWh,BPD,Dudley,1839.185979,36,21.2,28.6,0.956433128,551.502
28462160012,2/14/2014,605104115 1 kWh,BPD,Dudley,1684.421995,37,29.1,33.05,0.959035899,487.962
28462160012,2/15/2014,605104115 1 kWh,BPD,Dudley,1539.126,35.1,27.1,31.1,0.953698792,471.078
28462160012,2/16/2014,605104115 1 kWh,BPD,Dudley,1499.202,33.1,23.2,28.15,0.957802694,432.846
28462160012,2/17/2014,605104115 1 kWh,BPD,Dudley,1311.696,29.1,14.2,21.65,0.97022508,313.83
28462160012,2/18/2014,605104115 1 kWh,BPD,Dudley,1420.362,35.1,14.2,24.65,0.96952967,350.388
28462160012,2/19/2014,605104115 1 kWh,BPD,Dudley,1397.538,36,21.2,28.6,0.966075951,365.886
28462160012,2/20/2014,605104115 1 kWh,BPD,Dudley,1281.978,48,33.1,40.55,0.962064736,358.632
28462160012,2/21/2014,605104115 1 kWh,BPD,Dudley,1246.158,44.1,34,39.05,0.960044913,359.91
28462160012,2/22/2014,605104115 1 kWh,BPD,Dudley,1140.84,50,34,42,0.952852476,359.01
28462160012,2/23/2014,605104115 1 kWh,BPD,Dudley,1137.582,52,34,43,0.952178795,360.252
28462160012,2/24/2014,605104115 1 kWh,BPD,Dudley,1328.346,45,24.3,34.65,0.965855931,346.968
28462160012,2/25/2014,605104115 1 kWh,BPD,Dudley,1465.344,29.1,22.1,25.6,0.969022476,362.25
28462160012,2/26/2014,605104115 1 kWh,BPD,Dudley,1595.753998,32,16.2,24.1,0.964348983,425.52
28462160012,2/27/2014,605104115 1 kWh,BPD,Dudley,1584.702,30.2,12.2,21.2,0.965571917,411.21
28462160012,2/28/2014,605104115 1 kWh,BPD,Dudley,1634.724,25.2,10.2,17.7,0.964872111,428.814
28462160012,3/1/2014,605104115 1 kWh,BPD,Dudley,1560.204,36,16.2,26.1,0.95601958,462.6
28462160012,3/2/2014,605104115 1 kWh,BPD,Dudley,1530.09,39.9,30.2,35.05,0.952259451,475.488
28462160012,3/3/2014,605104115 1 kWh,BPD,Dudley,1673.513999,30.2,16.2,23.2,0.960631705,471.456
28462160012,3/4/2014,605104115 1 kWh,BPD,Dudley,1636.685997,31.1,12.2,21.65,0.962316181,450.81
28462160012,3/5/2014,605104115 1 kWh,BPD,Dudley,1679.561996,29.1,20.1,24.6,0.959683073,477.45
28462160012,3/6/2014,605104115 1 kWh,BPD,Dudley,1730.717995,25.2,11.1,18.15,0.963766083,463.41
