Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26807740019,1/1/14,605103584 1 kWh,BPD,Headquarters.D,1237.905,29.1,19.2,24.15,0.876001483,680.832
26807740019,1/2/14,605103584 1 kWh,BPD,Headquarters.D,1279.053,26.2,2.1,14.15,0.881546333,684.081
26807740019,1/3/14,605103584 1 kWh,BPD,Headquarters.D,1251.918,14.2,2.1,8.15,0.87826249,681.039
26807740019,1/4/14,605103584 1 kWh,BPD,Headquarters.D,1257.192,27.1,2.1,14.6,0.882296274,669.447
26807740019,1/5/14,605103584 1 kWh,BPD,Headquarters.D,1281.825,37.9,24.3,31.1,0.884525767,675.054
26807740019,1/6/14,605103584 1 kWh,BPD,Headquarters.D,1315.764,55.9,29.1,42.5,0.888108465,679.923
26807740019,1/7/14,605103584 1 kWh,BPD,Headquarters.D,1345.59,29.1,9.1,19.1,0.891017212,684.099
26807740019,1/8/14,605103584 1 kWh,BPD,Headquarters.D,1322.721,22.1,7.2,14.65,0.890630726,674.865
26807740019,1/9/14,605103584 1 kWh,BPD,Headquarters.D,1280.952,30.2,19.2,24.7,0.885781885,669.789
26807740019,1/10/14,605103584 1 kWh,BPD,Headquarters.D,1284.777,37,18.1,27.55,0.886547997,669.78
26807740019,1/11/14,605103584 1 kWh,BPD,Headquarters.D,1239.129,59,34,46.5,0.882637073,659.268
26807740019,1/12/14,605103584 1 kWh,BPD,Headquarters.D,1248.012,54,37,45.5,0.881870875,666.144
26807740019,1/13/14,605103584 1 kWh,BPD,Headquarters.D,1313.973,51.1,31.1,41.1,0.891343719,667.575
26807740019,1/14/14,605103584 1 kWh,BPD,Headquarters.D,1284.714,50,44.1,47.05,0.889079142,660.717
26807740019,1/15/14,605103584 1 kWh,BPD,Headquarters.D,1272.546,48,35.1,41.55,0.884154604,671.562
26807740019,1/16/14,605103584 1 kWh,BPD,Headquarters.D,1273.14,39,33.1,36.05,0.879155774,688.68
26807740019,1/17/14,605103584 1 kWh,BPD,Headquarters.D,1274.508,46,33.1,39.55,0.880183181,686.007
26807740019,1/18/14,605103584 1 kWh,BPD,Headquarters.D,1238.436,37.9,32,34.95,0.874443274,686.16
26807740019,1/19/14,605103584 1 kWh,BPD,Headquarters.D,1259.1,35.1,30.2,32.65,0.877053122,688.59
26807740019,1/20/14,605103584 1 kWh,BPD,Headquarters.D,1305.378,41,26.2,33.6,0.882732552,693.81
26807740019,1/21/14,605103584 1 kWh,BPD,Headquarters.D,1315.611,26.2,11.1,18.65,0.888069646,679.968
26807740019,1/22/14,605103584 1 kWh,BPD,Headquarters.D,1294.947,18.1,7.2,12.65,0.885304882,678.681
26807740019,1/23/14,605103584 1 kWh,BPD,Headquarters.D,1291.203,22.1,6.3,14.2,0.886041389,674.253
26807740019,1/24/14,605103584 1 kWh,BPD,Headquarters.D,1260.117,19.2,7.2,13.2,0.882401948,671.112
26807740019,1/25/14,605103584 1 kWh,BPD,Headquarters.D,1252.593,37.9,15.3,26.6,0.88005683,674.964
26807740019,1/26/14,605103584 1 kWh,BPD,Headquarters.D,1252.566,26.2,16.2,21.2,0.880034431,675.108
26807740019,1/27/14,605103584 1 kWh,BPD,Headquarters.D,1310.085,46.9,21.2,34.05,0.887827184,676.629
26807740019,1/28/14,605103584 1 kWh,BPD,Headquarters.D,1309.05,21.2,13.1,17.15,0.887070476,680.04
26807740019,1/29/14,605103584 1 kWh,BPD,Headquarters.D,1283.13,27.1,15.3,21.2,0.887033115,665.982
26807740019,1/30/14,605103584 1 kWh,BPD,Headquarters.D,1323.621,30.2,16.2,23.2,0.889065486,679.761
26807740019,1/31/14,605103584 1 kWh,BPD,Headquarters.D,1328.454,43,22.1,32.55,0.888197542,686.214
26807740019,2/1/14,605103584 1 kWh,BPD,Headquarters.D,1281.42,42.1,32,37.05,0.883636868,677.988
26807740019,2/2/14,605103584 1 kWh,BPD,Headquarters.D,1252.701,55,31.1,43.05,0.879103615,678.303
26807740019,2/3/14,605103584 1 kWh,BPD,Headquarters.D,1321.659,41,27.1,34.05,0.891643684,668.997
26807740019,2/4/14,605103584 1 kWh,BPD,Headquarters.D,1320.201,35.1,23.2,29.15,0.889509816,676.809
26807740019,2/5/14,605103584 1 kWh,BPD,Headquarters.D,1322.982,33.1,24.3,28.7,0.887014149,687.789
26807740019,2/6/14,605103584 1 kWh,BPD,Headquarters.D,1319.193,28.2,19.2,23.7,0.889521285,676.62
26807740019,2/7/14,605103584 1 kWh,BPD,Headquarters.D,1288.791,30.2,19.2,24.7,0.887525573,668.691
26807740019,2/8/14,605103584 1 kWh,BPD,Headquarters.D,1243.098,29.1,18.1,23.6,0.881333951,665.784
26807740019,2/9/14,605103584 1 kWh,BPD,Headquarters.D,1239.138,30.2,21.2,25.7,0.882175024,660.393
26807740019,2/10/14,605103584 1 kWh,BPD,Headquarters.D,1305.648,30.2,20.1,25.15,0.892237476,659.394
26807740019,2/11/14,605103584 1 kWh,BPD,Headquarters.D,1304.712,25.2,14.2,19.7,0.892806872,657.729
26807740019,2/12/14,605103584 1 kWh,BPD,Headquarters.D,1291.599,23.2,8.2,15.7,0.891664625,655.173
26807740019,2/13/14,605103584 1 kWh,BPD,Headquarters.D,1310.562,36,21.2,28.6,0.893181194,657.981
26807740019,2/14/14,605103584 1 kWh,BPD,Headquarters.D,1292.895,37,29.1,33.05,0.88885866,664.884
26807740019,2/15/14,605103584 1 kWh,BPD,Headquarters.D,1321.983,35.1,27.1,31.1,0.892183767,668.844
26807740019,2/16/14,605103584 1 kWh,BPD,Headquarters.D,1319.922,33.1,23.2,28.15,0.892053184,668.16
26807740019,2/17/14,605103584 1 kWh,BPD,Headquarters.D,1262.232,29.1,14.2,21.65,0.887564378,654.498
26807740019,2/18/14,605103584 1 kWh,BPD,Headquarters.D,1289.511,35.1,14.2,24.65,0.890402323,657.117
26807740019,2/19/14,605103584 1 kWh,BPD,Headquarters.D,1283.589,36,21.2,28.6,0.889010375,660.249
26807740019,2/20/14,605103584 1 kWh,BPD,Headquarters.D,1269.009,48,33.1,40.55,0.886446372,661.725
26807740019,2/21/14,605103584 1 kWh,BPD,Headquarters.D,1256.58,44.1,34,39.05,0.883511799,665.28
26807740019,2/22/14,605103584 1 kWh,BPD,Headquarters.D,1202.364,50,34,42,0.876021115,661.383
26807740019,2/23/14,605103584 1 kWh,BPD,Headquarters.D,1176.507,52,34,43,0.872912295,657.207
26807740019,2/24/14,605103584 1 kWh,BPD,Headquarters.D,1259.172,45,24.3,34.65,0.881586326,673.425
26807740019,2/25/14,605103584 1 kWh,BPD,Headquarters.D,1269.09,29.1,22.1,25.6,0.882244323,676.215
26807740019,2/26/14,605103584 1 kWh,BPD,Headquarters.D,1240.191,32,16.2,24.1,0.881575222,663.021
26807740019,2/27/14,605103584 1 kWh,BPD,Headquarters.D,1204.677,30.2,12.2,21.2,0.877155399,658.638
26807740019,2/28/14,605103584 1 kWh,BPD,Headquarters.D,1249.686,25.2,10.2,17.7,0.885577469,654.417
26807740019,3/1/14,605103584 1 kWh,BPD,Headquarters.D,1222.353,36,16.2,26.1,0.877779639,666.198
26807740019,3/2/14,605103584 1 kWh,BPD,Headquarters.D,1234.287,39.9,30.2,35.05,0.878433146,670.968
26807740019,3/3/14,605103584 1 kWh,BPD,Headquarters.D,1258.317,30.2,16.2,23.2,0.884171007,663.561
26807740019,3/4/14,605103584 1 kWh,BPD,Headquarters.D,1214.1,31.1,12.2,21.65,0.877878951,661.086
26807740019,3/5/14,605103584 1 kWh,BPD,Headquarters.D,1241.154,29.1,20.1,24.6,0.883022347,657.126
26807740019,3/6/14,605103584 1 kWh,BPD,Headquarters.D,1238.373,25.2,11.1,18.15,0.881247441,662.877
26807740019,3/7/14,605103584 1 kWh,BPD,Headquarters.D,1236.753,34,16.2,25.1,0.883054122,655.659
26807740019,3/8/14,605103584 1 kWh,BPD,Headquarters.D,1214.802,55,27.1,41.05,0.877967552,661.869
26807740019,3/10/14,605103584 1 kWh,BPD,Headquarters.D,1232.802,44.1,28.2,36.15,0.882108319,657.207
26807740019,3/11/14,605103584 1 kWh,BPD,Headquarters.D,1191.294,60.1,34,47.05,0.876177295,654.273
26807740019,3/12/14,605103584 1 kWh,BPD,Headquarters.D,1219.797,46,37,41.5,0.879307424,659.484
26807740019,3/13/14,605103584 1 kWh,BPD,Headquarters.D,1243.575,37,17.2,27.1,0.877001788,679.293
26807740019,3/14/14,605103584 1 kWh,BPD,Headquarters.D,1222.965,39,16.2,27.6,0.873176274,681.939
26807740019,3/15/14,605103584 1 kWh,BPD,Headquarters.D,1201.86,57,37.9,47.45,0.865267663,695.439
26807740019,3/16/14,605103584 1 kWh,BPD,Headquarters.D,1237.221,37,23.2,30.1,0.870218153,699.84
26807740019,3/17/14,605103584 1 kWh,BPD,Headquarters.D,1225.818,27.1,16.2,21.65,0.873814455,681.318
26807740019,3/18/14,605103584 1 kWh,BPD,Headquarters.D,1263.078,33.1,20.1,26.6,0.87926216,683.181
26807740019,3/19/14,605103584 1 kWh,BPD,Headquarters.D,1259.19,41,27.1,34.05,0.874873691,696.168
26807740019,3/20/14,605103584 1 kWh,BPD,Headquarters.D,1237.113,52,37,44.5,0.873946201,686.583
26807740019,3/21/14,605103584 1 kWh,BPD,Headquarters.D,1012.599,45,34,39.5,0.908776913,483.435
26807740019,3/22/14,605103584 1 kWh,BPD,Headquarters.D,722.952,57,28.2,42.6,0.942375802,255.609
26807740019,3/23/14,605103584 1 kWh,BPD,Headquarters.D,705.627,44.1,22.1,33.1,0.944116941,245.781
26807740019,3/24/14,605103584 1 kWh,BPD,Headquarters.D,756.342,33.1,17.2,25.15,0.946627267,256.464
26807740019,3/25/14,605103584 1 kWh,BPD,Headquarters.D,785.439,39,21.2,30.1,0.949126576,261.234
26807740019,3/26/14,605103584 1 kWh,BPD,Headquarters.D,788.346,35.1,24.3,29.7,0.950902712,255.528
26807740019,3/27/14,605103584 1 kWh,BPD,Headquarters.D,1041.786,46,21.2,33.6,0.911079538,488.034
26807740019,3/28/14,605103584 1 kWh,BPD,Headquarters.D,1228.536,60.1,35.1,47.6,0.883126208,652.23
26807740019,3/29/14,605103584 1 kWh,BPD,Headquarters.D,1203.678,52,39,45.5,0.878622851,653.634
26807740019,3/30/14,605103584 1 kWh,BPD,Headquarters.D,1207.044,43,36,39.5,0.876987743,660.978
26807740019,3/31/14,605103584 1 kWh,BPD,Headquarters.D,1241.451,42.1,34,38.05,0.880068712,668.322
26807740019,4/1/14,605103584 1 kWh,BPD,Headquarters.D,1222.155,46.9,34,40.45,0.880886858,655.902
26807740019,4/2/14,605103584 1 kWh,BPD,Headquarters.D,1194.12,46,37,41.5,0.87547899,658.557
26807740019,4/3/14,605103584 1 kWh,BPD,Headquarters.D,1223.217,54,34,44,0.879822958,659.322
