Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26812030018,01/01/2014,605106493 1 kWh,BPL,Harvard.st,497.052,29.1,19.2,24.15,0.95061441,168.381
26812030018,01/02/2014,605106493 1 kWh,BPL,Harvard.st,570.789,26.2,2.1,14.15,0.961649545,163.458
26812030018,01/03/2014,605106493 1 kWh,BPL,Harvard.st,465.48,14.2,2.1,8.15,0.953055816,154.134
26812030018,01/04/2014,605106493 1 kWh,BPL,Harvard.st,571.365,27.1,2.1,14.6,0.964324722,155.538
26812030018,01/05/2014,605106493 1 kWh,BPL,Harvard.st,346.239,37.9,24.3,31.1,0.966556326,91.836
26812030018,01/06/2014,605106493 1 kWh,BPL,Harvard.st,575.172,55.9,29.1,42.5,0.971014788,136.359
26812030018,01/07/2014,605106493 1 kWh,BPL,Harvard.st,549.918,29.1,9.1,19.1,0.96259224,156.348
26812030018,01/08/2014,605106493 1 kWh,BPL,Harvard.st,632.259,22.1,7.2,14.65,0.962906781,176.049
26812030018,01/09/2014,605106493 1 kWh,BPL,Harvard.st,666.963,30.2,19.2,24.7,0.967541257,170.145
26812030018,01/10/2014,605106493 1 kWh,BPL,Harvard.st,584.991,37,18.1,27.55,0.962948358,163.116
26812030018,01/11/2014,605106493 1 kWh,BPL,Harvard.st,486.441,59,34,46.5,0.977461056,101.025
26812030018,01/12/2014,605106493 1 kWh,BPL,Harvard.st,407.187,54,37,45.5,0.968747351,103.356
26812030018,01/13/2014,605106493 1 kWh,BPL,Harvard.st,673.947,51.1,31.1,41.1,0.966028972,177.282
26812030018,01/14/2014,605106493 1 kWh,BPL,Harvard.st,595.521,50,44.1,47.05,0.964549747,160.317
26812030018,01/15/2014,605106493 1 kWh,BPL,Harvard.st,628.929,48,35.1,41.55,0.962496288,173.925
26812030018,01/16/2014,605106493 1 kWh,BPL,Harvard.st,595.656,39,33.1,36.05,0.964921726,159.759
26812030018,01/17/2014,605106493 1 kWh,BPL,Harvard.st,583.767,46,33.1,39.55,0.965347361,156.771
26812030018,01/18/2014,605106493 1 kWh,BPL,Harvard.st,558.342,37.9,32,34.95,0.964322483,153.189
26812030018,01/19/2014,605106493 1 kWh,BPL,Harvard.st,338.724,35.1,30.2,32.65,0.965528622,91.287
26812030018,01/20/2014,605106493 1 kWh,BPL,Harvard.st,508.23,41,26.2,33.6,0.950151476,172.431
