Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
27978120015,1/1/2014,605105627 1 kWh,BPL,Mattapan,567.132,29.1,19.2,24.15,0.878806583,306.654
27978120015,1/2/2014,605105627 1 kWh,BPL,Mattapan,785.868,26.2,2.1,14.15,0.894202764,379.266
27978120015,1/3/2014,605105627 1 kWh,BPL,Mattapan,802.356,14.2,2.1,8.15,0.912212358,345.21
27978120015,1/4/2014,605105627 1 kWh,BPL,Mattapan,791.796,27.1,2.1,14.6,0.912814917,335.868
27978120015,1/5/2014,605105627 1 kWh,BPL,Mattapan,570.126,37.9,24.3,31.1,0.878706309,308.238
27978120015,1/6/2014,605105627 1 kWh,BPL,Mattapan,852.852,55.9,29.1,42.5,0.89998576,385.944
27978120015,1/7/2014,605105627 1 kWh,BPL,Mattapan,830.256,29.1,9.1,19.1,0.903513073,366.996
27978120015,1/8/2014,605105627 1 kWh,BPL,Mattapan,848.91,22.1,7.2,14.65,0.90719158,369.918
27978120015,1/9/2014,605105627 1 kWh,BPL,Mattapan,851.634,30.2,19.2,24.7,0.899927063,387.264
27978120015,1/10/2014,605105627 1 kWh,BPL,Mattapan,811.638,37,18.1,27.55,0.892074972,390.51
27978120015,1/11/2014,605105627 1 kWh,BPL,Mattapan,851.838,59,34,46.5,0.90168699,386.076
27978120015,1/12/2014,605105627 1 kWh,BPL,Mattapan,581.466,54,37,45.5,0.874673861,319.146
27978120015,1/13/2014,605105627 1 kWh,BPL,Mattapan,826.968,51.1,31.1,41.1,0.899242788,382.26
27978120015,1/14/2014,605105627 1 kWh,BPL,Mattapan,851.118,50,44.1,47.05,0.903252906,375.876
27978120015,1/15/2014,605105627 1 kWh,BPL,Mattapan,858.258,48,35.1,41.55,0.900385219,390.732
27978120015,1/16/2014,605105627 1 kWh,BPL,Mattapan,856.26,39,33.1,36.05,0.902282017,382.494
27978120015,1/17/2014,605105627 1 kWh,BPL,Mattapan,813.27,46,33.1,39.55,0.90103251,369
27978120015,1/18/2014,605105627 1 kWh,BPL,Mattapan,787.374,37.9,32,34.95,0.904652549,346.704
27978120015,1/19/2014,605105627 1 kWh,BPL,Mattapan,568.05,35.1,30.2,32.65,0.87655816,310.176
27978120015,1/20/2014,605105627 1 kWh,BPL,Mattapan,805.014,41,26.2,33.6,0.899915615,374.094
27978120015,1/21/2014,605105627 1 kWh,BPL,Mattapan,846.102,26.2,11.1,18.65,0.907832826,361.62
27978120015,1/22/2014,605105627 1 kWh,BPL,Mattapan,841.002,18.1,7.2,12.65,0.907024778,366.756
27978120015,1/23/2014,605105627 1 kWh,BPL,Mattapan,800.28,22.1,6.3,14.2,0.899161622,372.468
27978120015,1/24/2014,605105627 1 kWh,BPL,Mattapan,809.358,19.2,7.2,13.2,0.904152674,361.152
27978120015,1/25/2014,605105627 1 kWh,BPL,Mattapan,794.19,37.9,15.3,26.6,0.897899601,364.11
27978120015,1/26/2014,605105627 1 kWh,BPL,Mattapan,581.112,26.2,16.2,21.2,0.871827049,324.576
27978120015,1/27/2014,605105627 1 kWh,BPL,Mattapan,838.338,46.9,21.2,34.05,0.89877316,386.478
27978120015,1/28/2014,605105627 1 kWh,BPL,Mattapan,840.432,21.2,13.1,17.15,0.907708542,355.518
27978120015,1/29/2014,605105627 1 kWh,BPL,Mattapan,828.444,27.1,15.3,21.2,0.90526099,364.314
27978120015,1/30/2014,605105627 1 kWh,BPL,Mattapan,853.71,30.2,16.2,23.2,0.909341691,363.264
27978120015,1/31/2014,605105627 1 kWh,BPL,Mattapan,810.462,43,22.1,32.55,0.909727139,351.03
27978120015,2/1/2014,605105627 1 kWh,BPL,Mattapan,809.022,42.1,32,37.05,0.911249767,345.264
27978120015,2/2/2014,605105627 1 kWh,BPL,Mattapan,604.758,55,31.1,43.05,0.890233712,307.764
27978120015,2/3/2014,605105627 1 kWh,BPL,Mattapan,846.816,41,27.1,34.05,0.917437073,348.078
27978120015,2/4/2014,605105627 1 kWh,BPL,Mattapan,863.358,35.1,23.2,29.15,0.919085653,348.048
27978120015,2/5/2014,605105627 1 kWh,BPL,Mattapan,868.104,33.1,24.3,28.7,0.91717208,362.658
27978120015,2/6/2014,605105627 1 kWh,BPL,Mattapan,860.766,28.2,19.2,23.7,0.908653267,369.414
27978120015,2/7/2014,605105627 1 kWh,BPL,Mattapan,813.648,30.2,19.2,24.7,0.901158056,371.07
27978120015,2/8/2014,605105627 1 kWh,BPL,Mattapan,790.794,29.1,18.1,23.6,0.898674083,362.682
27978120015,2/9/2014,605105627 1 kWh,BPL,Mattapan,575.988,30.2,21.2,25.7,0.872256427,321.54
27978120015,2/10/2014,605105627 1 kWh,BPL,Mattapan,840.222,30.2,20.1,25.15,0.901301948,383.064
27978120015,2/11/2014,605105627 1 kWh,BPL,Mattapan,857.196,25.2,14.2,19.7,0.901639528,384.72
27978120015,2/12/2014,605105627 1 kWh,BPL,Mattapan,875.586,23.2,8.2,15.7,0.904902813,389.748
27978120015,2/13/2014,605105627 1 kWh,BPL,Mattapan,886.824,36,21.2,28.6,0.906469781,388.878
27978120015,2/14/2014,605105627 1 kWh,BPL,Mattapan,826.098,37,29.1,33.05,0.900657285,375.918
27978120015,2/15/2014,605105627 1 kWh,BPL,Mattapan,770.868,35.1,27.1,31.1,0.896398444,358.746
27978120015,2/16/2014,605105627 1 kWh,BPL,Mattapan,589.344,33.1,23.2,28.15,0.882570632,312.864
27978120015,2/17/2014,605105627 1 kWh,BPL,Mattapan,828.198,29.1,14.2,21.65,0.903561201,375.204
27978120015,2/18/2014,605105627 1 kWh,BPL,Mattapan,832.122,35.1,14.2,24.65,0.900905764,376.8
27978120015,2/19/2014,605105627 1 kWh,BPL,Mattapan,849.924,36,21.2,28.6,0.895703993,397.02
27978120015,2/20/2014,605105627 1 kWh,BPL,Mattapan,893.478,48,33.1,40.55,0.897229646,411.846
27978120015,2/21/2014,605105627 1 kWh,BPL,Mattapan,825.042,44.1,34,39.05,0.899603667,378.396
27978120015,2/22/2014,605105627 1 kWh,BPL,Mattapan,811.71,50,34,42,0.899943139,372.624
27978120015,2/23/2014,605105627 1 kWh,BPL,Mattapan,589.608,52,34,43,0.874886069,325.164
27978120015,2/24/2014,605105627 1 kWh,BPL,Mattapan,847.38,45,24.3,34.65,0.903591608,375.576
27978120015,2/25/2014,605105627 1 kWh,BPL,Mattapan,853.458,29.1,22.1,25.6,0.905284611,371.988
