Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
28291130012,1/1/2014,605105418 1 kWh,DND,Hemenway,257.064,29.1,19.2,24.15,0.853496601,162.96
28291130012,1/2/2014,605105418 1 kWh,DND,Hemenway,274.476,26.2,2.1,14.15,0.853449483,168.504
28291130012,1/3/2014,605105418 1 kWh,DND,Hemenway,207.024,14.2,2.1,8.15,0.861486556,126.618
28291130012,1/4/2014,605105418 1 kWh,DND,Hemenway,158.91,27.1,2.1,14.6,0.870529813,93.972
28291130012,1/5/2014,605105418 1 kWh,DND,Hemenway,218.358,37.9,24.3,31.1,0.822459236,157.494
28291130012,1/6/2014,605105418 1 kWh,DND,Hemenway,292.224,55.9,29.1,42.5,0.894226774,123.468
28291130012,1/7/2014,605105418 1 kWh,DND,Hemenway,291.588,29.1,9.1,19.1,0.893395865,118.908
28291130012,1/8/2014,605105418 1 kWh,DND,Hemenway,300.924,22.1,7.2,14.65,0.893320319,123.864
28291130012,1/9/2014,605105418 1 kWh,DND,Hemenway,313.428,30.2,19.2,24.7,0.893108233,127.542
28291130012,1/10/2014,605105418 1 kWh,DND,Hemenway,298.95,37,18.1,27.55,0.895421847,123.156
28291130012,1/11/2014,605105418 1 kWh,DND,Hemenway,124.518,59,34,46.5,0.874674337,69.12
28291130012,1/12/2014,605105418 1 kWh,DND,Hemenway,119.67,54,37,45.5,0.881186229,64.302
28291130012,1/13/2014,605105418 1 kWh,DND,Hemenway,297.036,51.1,31.1,41.1,0.899553917,119.43
28291130012,1/14/2014,605105418 1 kWh,DND,Hemenway,301.854,50,44.1,47.05,0.925998875,107.61
28291130012,1/15/2014,605105418 1 kWh,DND,Hemenway,285.678,48,35.1,41.55,0.921841031,109.416
28291130012,1/16/2014,605105418 1 kWh,DND,Hemenway,296.574,39,33.1,36.05,0.91427491,110.934
28291130012,1/17/2014,605105418 1 kWh,DND,Hemenway,281.976,46,33.1,39.55,0.903602802,114.726
28291130012,1/18/2014,605105418 1 kWh,DND,Hemenway,121.71,37.9,32,34.95,0.876589566,66.888
28291130012,1/19/2014,605105418 1 kWh,DND,Hemenway,132.858,35.1,30.2,32.65,0.877855972,72.618
28291130012,1/20/2014,605105418 1 kWh,DND,Hemenway,172.362,41,26.2,33.6,0.842150184,116.724
28291130012,1/21/2014,605105418 1 kWh,DND,Hemenway,297.084,26.2,11.1,18.65,0.896886847,121.656
28291130012,1/22/2014,605105418 1 kWh,DND,Hemenway,198.474,18.1,7.2,12.65,0.872782052,111.936
28291130012,1/23/2014,605105418 1 kWh,DND,Hemenway,287.43,22.1,6.3,14.2,0.896279045,120.516
28291130012,1/24/2014,605105418 1 kWh,DND,Hemenway,353.082,19.2,7.2,13.2,0.869792889,169.164
28291130012,1/25/2014,605105418 1 kWh,DND,Hemenway,201.888,37.9,15.3,26.6,0.84405642,134.952
