Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26432141005,01/01/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,30976.64932,29.1,19.2,24.15,0.966076462,8144.669806
26432141005,01/02/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,34920.59932,26.2,2.1,14.15,0.964661667,9439.559792
26432141005,01/03/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,33841.85929,14.2,2.1,8.15,0.968298781,8671.289809
26432141005,01/04/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,32356.7393,27.1,2.1,14.6,0.971190458,7837.799831
26432141005,01/05/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,32084.30925,37.9,24.3,31.1,0.965792503,8509.679812
26432141005,01/08/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,36531.80903,22.1,7.2,14.65,0.970525976,9059.009786
26432141005,01/09/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,36984.56908,30.2,19.2,24.7,0.969464965,9276.149787
26432141005,01/10/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,36163.76912,37,18.1,27.55,0.967725438,9358.679797
26432141005,01/11/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,31051.31932,59,34,46.5,0.971330708,7452.59984
26432141005,01/12/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,30176.0693,54,37,45.5,0.968262847,7681.559831
26432141005,01/13/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,33749.18921,51.1,31.1,41.1,0.96384492,9281.909824
26432141005,01/14/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,32669.57932,50,44.1,47.05,0.962995552,9073.889822
26432141005,01/15/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,33384.68935,48,35.1,41.55,0.962383188,9340.469779
26432141005,01/16/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,34096.19928,39,33.1,36.05,0.964638854,9286.739805
26432141005,01/17/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,33384.56919,46,33.1,39.55,0.963564819,9224.099825
26432141005,01/18/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,30016.43935,37.9,32,34.95,0.970105899,7383.449847
26432141005,01/19/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,29610.98929,35.1,30.2,32.65,0.970902979,7159.19983
26432141005,01/20/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,30713.30927,41,26.2,33.6,0.965705417,8130.059827
26432141005,01/21/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,35229.23926,26.2,11.1,18.65,0.966655979,9274.019817
26432141005,01/22/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,36499.25909,18.1,7.2,12.65,0.967483632,9503.93979
26432141005,01/23/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,37641.62914,22.1,6.3,14.2,0.968936913,9547.859774
26432141005,01/24/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,37599.35913,19.2,7.2,13.2,0.970342549,9351.719791
26432141005,01/25/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,33508.01928,37.9,15.3,26.6,0.970789448,8170.559816
26432141005,01/26/2014,CITY HALL SQ 1 kWh,PROP,Hll.Sq,33456.74924,26.2,16.2,21.2,0.97262908,7854.989839
