Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26441521007,01/01/2014,605105191 1 kWh,SCH,Arts,2338.312587,29.1,19.2,24.15,0.885519778,1323.81
26441521007,01/02/2014,605105191 1 kWh,SCH,Arts,3098.767612,26.2,2.1,14.15,0.856392851,1864.800003
26441521007,01/03/2014,605105191 1 kWh,SCH,Arts,2698.200106,14.2,2.1,8.15,0.874384566,1561.86
26441521007,01/04/2014,605105191 1 kWh,SCH,Arts,2069.415044,27.1,2.1,14.6,0.908415677,1070.6175
26441521007,01/05/2014,605105191 1 kWh,SCH,Arts,2244.30755,37.9,24.3,31.1,0.891184444,1237.2525
26441521007,01/06/2014,605105191 1 kWh,SCH,Arts,3049.155103,55.9,29.1,42.5,0.92740559,1318.522508
26441521007,01/07/2014,605105191 1 kWh,SCH,Arts,3039.412619,29.1,9.1,19.1,0.928014476,1304.572501
26441521007,01/08/2014,605105191 1 kWh,SCH,Arts,3183.030096,22.1,7.2,14.65,0.928376566,1367.37001
26441521007,01/09/2014,605105191 1 kWh,SCH,Arts,3218.602619,30.2,19.2,24.7,0.93142699,1362.46501
26441521007,01/10/2014,605105191 1 kWh,SCH,Arts,3160.755099,37,18.1,27.55,0.923072302,1412.910008
26441521007,01/11/2014,605105191 1 kWh,SCH,Arts,1933.312547,59,34,46.5,0.923453538,906.705
26441521007,01/12/2014,605105191 1 kWh,SCH,Arts,1457.145,54,37,45.5,0.943867819,523.98
26441521007,01/13/2014,605105191 1 kWh,SCH,Arts,3231.630107,51.1,31.1,41.1,0.92980001,1370.925009
26441521007,01/14/2014,605105191 1 kWh,SCH,Arts,2993.96259,50,44.1,47.05,0.939725809,1185.930006
26441521007,01/15/2014,605105191 1 kWh,SCH,Arts,3011.985101,48,35.1,41.55,0.935115642,1262.160009
26441521007,01/16/2014,605105191 1 kWh,SCH,Arts,3189.397604,39,33.1,36.05,0.932647795,1347.547522
26441521007,01/17/2014,605105191 1 kWh,SCH,Arts,3091.905093,46,33.1,39.55,0.922307243,1404.000013
26441521007,01/18/2014,605105191 1 kWh,SCH,Arts,1887.862539,37.9,32,34.95,0.923639358,895.77
26441521007,01/19/2014,605105191 1 kWh,SCH,Arts,1634.782501,35.1,30.2,32.65,0.938140278,617.31
26441521007,01/20/2014,605105191 1 kWh,SCH,Arts,2317.185079,41,26.2,33.6,0.907093521,1197.405
26441521007,01/21/2014,605105191 1 kWh,SCH,Arts,3386.295111,26.2,11.1,18.65,0.927300552,1470.330021
26441521007,01/22/2014,605105191 1 kWh,SCH,Arts,2615.355084,18.1,7.2,12.65,0.900987267,1389.037508
