Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26441591000,01/01/2014,605105548 1 kWh,SCH,Latin.Annx,982.944,29.1,19.2,24.15,0.81730249,690.588
26441591000,01/02/2014,605105548 1 kWh,SCH,Latin.Annx,1653.776996,26.2,2.1,14.15,0.780657726,1365.291
26441591000,01/03/2014,605105548 1 kWh,SCH,Latin.Annx,1548.053991,14.2,2.1,8.15,0.786804726,1263.582
26441591000,01/04/2014,605105548 1 kWh,SCH,Latin.Annx,1737.692979,27.1,2.1,14.6,0.763450566,1505.843998
26441591000,01/05/2014,605105548 1 kWh,SCH,Latin.Annx,1742.948988,37.9,24.3,31.1,0.760143819,1512.549
26441591000,01/06/2014,605105548 1 kWh,SCH,Latin.Annx,1863.215964,55.9,29.1,42.5,0.810552194,1388.951995
26441591000,01/07/2014,605105548 1 kWh,SCH,Latin.Annx,1841.192949,29.1,9.1,19.1,0.820049292,1327.157989
26441591000,01/08/2014,605105548 1 kWh,SCH,Latin.Annx,1938.383941,22.1,7.2,14.65,0.81723017,1371.176989
26441591000,01/09/2014,605105548 1 kWh,SCH,Latin.Annx,1964.276948,30.2,19.2,24.7,0.820720944,1387.475996
26441591000,01/10/2014,605105548 1 kWh,SCH,Latin.Annx,1998.791936,37,18.1,27.55,0.828982854,1378.142994
26441591000,01/11/2014,605105548 1 kWh,SCH,Latin.Annx,1509.506993,59,34,46.5,0.821754438,1051.542
26441591000,01/12/2014,605105548 1 kWh,SCH,Latin.Annx,1010.79,54,37,45.5,0.833111847,675.72
26441591000,01/13/2014,605105548 1 kWh,SCH,Latin.Annx,1930.085945,51.1,31.1,41.1,0.817640049,1384.946992
26441591000,01/14/2014,605105548 1 kWh,SCH,Latin.Annx,1858.031949,50,44.1,47.05,0.808348924,1367.171995
26441591000,01/15/2014,605105548 1 kWh,SCH,Latin.Annx,1877.957952,48,35.1,41.55,0.808131181,1384.793993
26441591000,01/16/2014,605105548 1 kWh,SCH,Latin.Annx,1885.634963,39,33.1,36.05,0.812767934,1366.532987
26441591000,01/17/2014,605105548 1 kWh,SCH,Latin.Annx,1873.502953,46,33.1,39.55,0.809576847,1380.194989
26441591000,01/18/2014,605105548 1 kWh,SCH,Latin.Annx,1333.755,37.9,32,34.95,0.802535851,1006.227
26441591000,01/19/2014,605105548 1 kWh,SCH,Latin.Annx,955.485,35.1,30.2,32.65,0.821290063,668.997
26441591000,01/20/2014,605105548 1 kWh,SCH,Latin.Annx,887.49,41,26.2,33.6,0.828031365,597.645
26441591000,01/21/2014,605105548 1 kWh,SCH,Latin.Annx,1873.745959,26.2,11.1,18.65,0.817748139,1337.966994
26441591000,01/22/2014,605105548 1 kWh,SCH,Latin.Annx,1605.518993,18.1,7.2,12.65,0.783095524,1308.78
26441591000,01/23/2014,605105548 1 kWh,SCH,Latin.Annx,1917.998947,22.1,6.3,14.2,0.808884201,1383.551989
26441591000,01/25/2014,605105548 1 kWh,SCH,Latin.Annx,1428.228,37.9,15.3,26.6,0.79405466,1104.093
26441591000,01/26/2014,605105548 1 kWh,SCH,Latin.Annx,1016.721,26.2,16.2,21.2,0.798658097,769.743
26441591000,01/27/2014,605105548 1 kWh,SCH,Latin.Annx,1996.028951,46.9,21.2,34.05,0.812953247,1436.183992
26441591000,01/28/2014,605105548 1 kWh,SCH,Latin.Annx,1962.251935,21.2,13.1,17.15,0.813395458,1422.998993
26441591000,01/29/2014,605105548 1 kWh,SCH,Latin.Annx,2000.987928,27.1,15.3,21.2,0.817873806,1425.608995
26441591000,01/30/2014,605105548 1 kWh,SCH,Latin.Annx,1859.129965,30.2,16.2,23.2,0.831872135,1251.224999
26441591000,01/31/2014,605105548 1 kWh,SCH,Latin.Annx,1682.522972,43,22.1,32.55,0.83659799,1109.943
26441591000,02/01/2014,605105548 1 kWh,SCH,Latin.Annx,1388.735996,42.1,32,37.05,0.817186601,991.818
26441591000,02/02/2014,605105548 1 kWh,SCH,Latin.Annx,983.646,55,31.1,43.05,0.823972542,681.975
26441591000,02/03/2014,605105548 1 kWh,SCH,Latin.Annx,1789.253963,41,27.1,34.05,0.841300365,1147.176
26441591000,02/04/2014,605105548 1 kWh,SCH,Latin.Annx,1639.718973,35.1,23.2,29.15,0.832936573,1094.139
26441591000,02/05/2014,605105548 1 kWh,SCH,Latin.Annx,1341.234,33.1,24.3,28.7,0.80547733,1017.432
26441591000,02/07/2014,605105548 1 kWh,SCH,Latin.Annx,1721.960971,30.2,19.2,24.7,0.849751115,1091.205
26441591000,02/08/2014,605105548 1 kWh,SCH,Latin.Annx,1395.710999,29.1,18.1,23.6,0.812568802,1020.15
26441591000,02/09/2014,605105548 1 kWh,SCH,Latin.Annx,1011.321,30.2,21.2,25.7,0.806793528,745.317
26441591000,02/10/2014,605105548 1 kWh,SCH,Latin.Annx,1630.493983,30.2,20.1,25.15,0.820601503,1128.672
26441591000,02/11/2014,605105548 1 kWh,SCH,Latin.Annx,1598.99398,25.2,14.2,19.7,0.821016931,1102.572
