Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26434801002,1/1/2014,605104120 1 kWh,SCH,Campbell,3642.779917,29.1,19.2,24.15,0.943305507,1279.44
26434801002,1/2/2014,605104120 1 kWh,SCH,Campbell,4133.519905,26.2,2.1,14.15,0.957680007,1212.24
26434801002,1/3/2014,605104120 1 kWh,SCH,Campbell,4360.949894,14.2,2.1,8.15,0.959806563,1263.51
26434801002,1/4/2014,605104120 1 kWh,SCH,Campbell,4303.409903,27.1,2.1,14.6,0.955599028,1316.79
26434801002,1/5/2014,605104120 1 kWh,SCH,Campbell,3793.739917,37.9,24.3,31.1,0.946588021,1287.09
26434801002,1/6/2014,605104120 1 kWh,SCH,Campbell,4147.799912,55.9,29.1,42.5,0.950099243,1341.48
26434801002,1/7/2014,605104120 1 kWh,SCH,Campbell,4425.239903,29.1,9.1,19.1,0.959980639,1252.23
26434801002,1/8/2014,605104120 1 kWh,SCH,Campbell,4604.429908,22.1,7.2,14.65,0.967134257,1170.3
26434801002,1/9/2014,605104120 1 kWh,SCH,Campbell,4330.709899,30.2,19.2,24.7,0.954833337,1305.12
26434801002,1/10/2014,605104120 1 kWh,SCH,Campbell,4142.429902,37,18.1,27.55,0.951121125,1295.91
26434801002,1/11/2014,605104120 1 kWh,SCH,Campbell,3126.989944,59,34,46.5,0.920113326,1313.7
26434801002,1/12/2014,605104120 1 kWh,SCH,Campbell,3134.309945,54,37,45.5,0.92238276,1304.04
26434801002,1/13/2014,605104120 1 kWh,SCH,Campbell,3856.019918,51.1,31.1,41.1,0.941667767,1323.36
26434801002,1/14/2014,605104120 1 kWh,SCH,Campbell,3361.349915,50,44.1,47.05,0.916512819,1387.23
26434801002,1/15/2014,605104120 1 kWh,SCH,Campbell,3506.159936,48,35.1,41.55,0.927092625,1371.06
26434801002,1/16/2014,605104120 1 kWh,SCH,Campbell,3668.069923,39,33.1,36.05,0.931404635,1382.97
26434801002,1/17/2014,605104120 1 kWh,SCH,Campbell,3518.549918,46,33.1,39.55,0.926870903,1375.83
26434801002,1/18/2014,605104120 1 kWh,SCH,Campbell,3017.429944,37.9,32,34.95,0.916275313,1315.14
26434801002,1/19/2014,605104120 1 kWh,SCH,Campbell,3066.719939,35.1,30.2,32.65,0.921198896,1292.13
26434801002,1/20/2014,605104120 1 kWh,SCH,Campbell,3179.189934,41,26.2,33.6,0.90986074,1446.18
26434801002,1/21/2014,605104120 1 kWh,SCH,Campbell,4231.709907,26.2,11.1,18.65,0.95174916,1267.83
26434801002,1/22/2014,605104120 1 kWh,SCH,Campbell,4732.559891,18.1,7.2,12.65,0.965379007,1219.53
26434801002,1/23/2014,605104120 1 kWh,SCH,Campbell,4758.119885,22.1,6.3,14.2,0.96061016,1352.31
26434801002,1/24/2014,605104120 1 kWh,SCH,Campbell,4921.139889,19.2,7.2,13.2,0.966483594,1288.44
26434801002,1/25/2014,605104120 1 kWh,SCH,Campbell,4246.85991,37.9,15.3,26.6,0.955975514,1301.19
26434801002,1/26/2014,605104120 1 kWh,SCH,Campbell,4094.099931,26.2,16.2,21.2,0.953654444,1290.09
26434801002,1/27/2014,605104120 1 kWh,SCH,Campbell,4562.729897,46.9,21.2,34.05,0.952306826,1441.59
26434801002,1/28/2014,605104120 1 kWh,SCH,Campbell,4864.169875,21.2,13.1,17.15,0.962591104,1330.8
26434801002,1/29/2014,605104120 1 kWh,SCH,Campbell,4818.479887,27.1,15.3,21.2,0.966316174,1262.61
26434801002,1/30/2014,605104120 1 kWh,SCH,Campbell,4775.639904,30.2,16.2,23.2,0.967351056,1229.31
26434801002,1/31/2014,605104120 1 kWh,SCH,Campbell,4531.949912,43,22.1,32.55,0.962334705,1248.9
26434801002,2/1/2014,605104120 1 kWh,SCH,Campbell,3518.909918,42.1,32,37.05,0.941326215,1250.07
26434801002,2/2/2014,605104120 1 kWh,SCH,Campbell,3293.03993,55,31.1,43.05,0.933326281,1258.05
