Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26441011009,1/1/2014,605105076 1 kWh,PROP,hawkins,813.078,29.1,19.2,24.15,0.925912135,333.54
26441011009,1/2/2014,605105076 1 kWh,PROP,hawkins,1082.376,26.2,2.1,14.15,0.941279097,355.635
26441011009,1/3/2014,605105076 1 kWh,PROP,hawkins,762.57,14.2,2.1,8.15,0.936747139,273.681
26441011009,1/4/2014,605105076 1 kWh,PROP,hawkins,654.372,27.1,2.1,14.6,0.92159849,277.623
26441011009,1/5/2014,605105076 1 kWh,PROP,hawkins,718.443,37.9,24.3,31.1,0.91878634,310.869
26441011009,1/6/2014,605105076 1 kWh,PROP,hawkins,1193.696994,55.9,29.1,42.5,0.936647153,403.515
26441011009,1/7/2014,605105076 1 kWh,PROP,hawkins,1108.520998,29.1,9.1,19.1,0.937582215,363.996
26441011009,1/8/2014,605105076 1 kWh,PROP,hawkins,1097.91,22.1,7.2,14.65,0.937968378,359.28
26441011009,1/9/2014,605105076 1 kWh,PROP,hawkins,1138.482,30.2,19.2,24.7,0.939291573,362.799
26441011009,1/10/2014,605105076 1 kWh,PROP,hawkins,1103.49,37,18.1,27.55,0.937852639,367.407
26441011009,1/11/2014,605105076 1 kWh,PROP,hawkins,708.417,59,34,46.5,0.910827021,321.462
26441011009,1/12/2014,605105076 1 kWh,PROP,hawkins,810.54,54,37,45.5,0.926117726,325.215
26441011009,1/13/2014,605105076 1 kWh,PROP,hawkins,1138.751999,51.1,31.1,41.1,0.935084757,392.553
26441011009,1/14/2014,605105076 1 kWh,PROP,hawkins,1192.085998,50,44.1,47.05,0.929679583,422.235
26441011009,1/15/2014,605105076 1 kWh,PROP,hawkins,1178.918999,48,35.1,41.55,0.929636788,422.649
26441011009,1/16/2014,605105076 1 kWh,PROP,hawkins,1196.441998,39,33.1,36.05,0.927773354,436.896
26441011009,1/17/2014,605105076 1 kWh,PROP,hawkins,1166.588999,46,33.1,39.55,0.928284788,421.848
26441011009,1/18/2014,605105076 1 kWh,PROP,hawkins,697.176,37.9,32,34.95,0.90670326,325.458
26441011009,1/19/2014,605105076 1 kWh,PROP,hawkins,671.67,35.1,30.2,32.65,0.90730458,312.543
26441011009,1/20/2014,605105076 1 kWh,PROP,hawkins,702.189,41,26.2,33.6,0.906702045,327.591
26441011009,1/21/2014,605105076 1 kWh,PROP,hawkins,1067.057998,26.2,11.1,18.65,0.934876559,362.439
26441011009,1/22/2014,605105076 1 kWh,PROP,hawkins,1054.403999,18.1,7.2,12.65,0.933976757,356.247
26441011009,1/23/2014,605105076 1 kWh,PROP,hawkins,1038.051,22.1,6.3,14.2,0.931489392,358.092
26441011009,1/24/2014,605105076 1 kWh,PROP,hawkins,1033.388999,19.2,7.2,13.2,0.933030726,350.703
26441011009,1/25/2014,605105076 1 kWh,PROP,hawkins,620.964,37.9,15.3,26.6,0.903775174,295.911
26441011009,1/26/2014,605105076 1 kWh,PROP,hawkins,585.711,26.2,16.2,21.2,0.902790063,280.953
26441011009,1/27/2014,605105076 1 kWh,PROP,hawkins,1098.971999,46.9,21.2,34.05,0.931971993,377.595
26441011009,1/28/2014,605105076 1 kWh,PROP,hawkins,1093.895999,21.2,13.1,17.15,0.932307844,373.995
26441011009,1/29/2014,605105076 1 kWh,PROP,hawkins,1067.445,27.1,15.3,21.2,0.932462458,369.369
26441011009,1/30/2014,605105076 1 kWh,PROP,hawkins,1121.706,30.2,16.2,23.2,0.940376208,363.321
26441011009,1/31/2014,605105076 1 kWh,PROP,hawkins,1153.133999,43,22.1,32.55,0.939270868,384.228
26441011009,2/1/2014,605105076 1 kWh,PROP,hawkins,663.849,42.1,32,37.05,0.907818677,308.142
26441011009,2/2/2014,605105076 1 kWh,PROP,hawkins,764.397,55,31.1,43.05,0.912642108,338.319
26441011009,2/3/2014,605105076 1 kWh,PROP,hawkins,1132.991999,41,27.1,34.05,0.93275176,392.364
26441011009,2/4/2014,605105076 1 kWh,PROP,hawkins,1124.01,35.1,23.2,29.15,0.934503215,384.426
26441011009,2/5/2014,605105076 1 kWh,PROP,hawkins,1055.006999,33.1,24.3,28.7,0.939631288,342.342
26441011009,2/7/2014,605105076 1 kWh,PROP,hawkins,1069.586998,30.2,19.2,24.7,0.931725226,365.157
26441011009,2/8/2014,605105076 1 kWh,PROP,hawkins,597.123,29.1,18.1,23.6,0.907520323,278.433
26441011009,2/9/2014,605105076 1 kWh,PROP,hawkins,601.308,30.2,21.2,25.7,0.909977813,276.381
26441011009,2/10/2014,605105076 1 kWh,PROP,hawkins,1138.05,30.2,20.1,25.15,0.936357941,383.229
26441011009,2/11/2014,605105076 1 kWh,PROP,hawkins,1240.361995,25.2,14.2,19.7,0.938163733,416.529
26441011009,2/12/2014,605105076 1 kWh,PROP,hawkins,1264.032,23.2,8.2,15.7,0.938877472,425.898
26441011009,2/13/2014,605105076 1 kWh,PROP,hawkins,1203.398999,36,21.2,28.6,0.938123965,407.358
26441011009,2/14/2014,605105076 1 kWh,PROP,hawkins,1107.018,37,29.1,33.05,0.933859368,387.018
26441011009,2/15/2014,605105076 1 kWh,PROP,hawkins,637.551,35.1,27.1,31.1,0.907352396,297.234
26441011009,2/16/2014,605105076 1 kWh,PROP,hawkins,631.872,33.1,23.2,28.15,0.904660531,299.826
26441011009,2/17/2014,605105076 1 kWh,PROP,hawkins,618.372,29.1,14.2,21.65,0.936732806,227.124
26441011009,2/18/2014,605105076 1 kWh,PROP,hawkins,1191.455996,35.1,14.2,24.65,0.951422722,349.524
26441011009,2/19/2014,605105076 1 kWh,PROP,hawkins,1151.612998,36,21.2,28.6,0.947861323,350.253
26441011009,2/20/2014,605105076 1 kWh,PROP,hawkins,1151.829,48,33.1,40.55,0.941960108,380.187
26441011009,2/21/2014,605105076 1 kWh,PROP,hawkins,1123.623,44.1,34,39.05,0.942501889,368.883
26441011009,2/22/2014,605105076 1 kWh,PROP,hawkins,656.847,50,34,42,0.910770924,298.71
26441011009,2/23/2014,605105076 1 kWh,PROP,hawkins,677.808,52,34,43,0.910976681,307.08
26441011009,2/24/2014,605105076 1 kWh,PROP,hawkins,1106.172,45,24.3,34.65,0.94556775,351.432
26441011009,2/25/2014,605105076 1 kWh,PROP,hawkins,1138.247999,29.1,22.1,25.6,0.953034306,334.251
26441011009,2/26/2014,605105076 1 kWh,PROP,hawkins,1019.205,32,16.2,24.1,0.948671149,296.127
26441011009,2/27/2014,605105076 1 kWh,PROP,hawkins,1023.489,30.2,12.2,21.2,0.944752142,319.671
26441011009,2/28/2014,605105076 1 kWh,PROP,hawkins,1069.767,25.2,10.2,17.7,0.945931361,325.575
26441011009,3/1/2014,605105076 1 kWh,PROP,hawkins,603.684,36,16.2,26.1,0.915713295,267.471
26441011009,3/2/2014,605105076 1 kWh,PROP,hawkins,624.915,39.9,30.2,35.05,0.914328948,279.009
26441011009,3/3/2014,605105076 1 kWh,PROP,hawkins,1096.424998,30.2,16.2,23.2,0.946442865,332.388
26441011009,3/4/2014,605105076 1 kWh,PROP,hawkins,1125.557997,31.1,12.2,21.65,0.947007038,342.063
26441011009,3/5/2014,605105076 1 kWh,PROP,hawkins,1092.456,29.1,20.1,24.6,0.945539441,333.414
26441011009,3/6/2014,605105076 1 kWh,PROP,hawkins,1092.203999,25.2,11.1,18.15,0.94685816,332.784
26441011009,3/7/2014,605105076 1 kWh,PROP,hawkins,1017.468,34,16.2,25.1,0.935260774,345.15
26441011009,3/8/2014,605105076 1 kWh,PROP,hawkins,641.286,55,27.1,41.05,0.907344663,298.539
26441011009,3/10/2014,605105076 1 kWh,PROP,hawkins,1142.306997,44.1,28.2,36.15,0.936828434,382.257
26441011009,3/11/2014,605105076 1 kWh,PROP,hawkins,1183.545,60.1,34,47.05,0.936776198,399.834
26441011009,3/12/2014,605105076 1 kWh,PROP,hawkins,1175.435998,46,37,41.5,0.935579556,405.612
26441011009,3/13/2014,605105076 1 kWh,PROP,hawkins,1099.736999,37,17.2,27.1,0.94298533,355.824
26441011009,3/14/2014,605105076 1 kWh,PROP,hawkins,1103.418,39,16.2,27.6,0.938736493,370.791
26441011009,3/15/2014,605105076 1 kWh,PROP,hawkins,724.14,57,37.9,47.45,0.911276347,327.231
26441011009,3/16/2014,605105076 1 kWh,PROP,hawkins,647.415,37,23.2,30.1,0.91396601,289.422
26441011009,3/17/2014,605105076 1 kWh,PROP,hawkins,1055.205,27.1,16.2,21.65,0.935681535,352.683
26441011009,3/18/2014,605105076 1 kWh,PROP,hawkins,1080.315,33.1,20.1,26.6,0.938779264,362.988
26441011009,3/19/2014,605105076 1 kWh,PROP,hawkins,1118.664,41,27.1,34.05,0.942578257,366.3
26441011009,3/20/2014,605105076 1 kWh,PROP,hawkins,1123.119,52,37,44.5,0.93798117,381.609
26441011009,3/21/2014,605105076 1 kWh,PROP,hawkins,1135.728,45,34,39.5,0.934977059,396.126
26441011009,3/22/2014,605105076 1 kWh,PROP,hawkins,788.499,57,28.2,42.6,0.915733656,341.514
26441011009,3/23/2014,605105076 1 kWh,PROP,hawkins,684.918,44.1,22.1,33.1,0.931352441,267.3
26441011009,3/24/2014,605105076 1 kWh,PROP,hawkins,1091.294999,33.1,17.2,25.15,0.942102021,349.965
26441011009,3/25/2014,605105076 1 kWh,PROP,hawkins,1190.456999,39,21.2,30.1,0.944165212,381.969
26441011009,3/26/2014,605105076 1 kWh,PROP,hawkins,1173.680999,35.1,24.3,29.7,0.949556569,357.732
26441011009,3/27/2014,605105076 1 kWh,PROP,hawkins,1113.452998,46,21.2,33.6,0.934097375,383.22
26441011009,3/28/2014,605105076 1 kWh,PROP,hawkins,1154.295,60.1,35.1,47.6,0.933337313,395.739
26441011009,3/29/2014,605105076 1 kWh,PROP,hawkins,609.138,52,39,45.5,0.916264583,269.37
26441011009,3/30/2014,605105076 1 kWh,PROP,hawkins,670.923,43,36,39.5,0.908374868,311.022
26441011009,3/31/2014,605105076 1 kWh,PROP,hawkins,1160.946,42.1,34,38.05,0.932668191,402.381
26441011009,4/1/2014,605105076 1 kWh,PROP,hawkins,1187.414998,46.9,34,40.45,0.931395663,423
26441011009,4/2/2014,605105076 1 kWh,PROP,hawkins,1197.539994,46,37,41.5,0.929188646,429.21
26441011009,4/3/2014,605105076 1 kWh,PROP,hawkins,1239.471,54,34,44,0.929786726,448.794
26441011009,4/4/2014,605105076 1 kWh,PROP,hawkins,1205.982,44.1,37,40.55,0.930812045,437.229
26441011009,4/5/2014,605105076 1 kWh,PROP,hawkins,732.915,54,37.9,45.95,0.903675184,346.932
26441011009,4/6/2014,605105076 1 kWh,PROP,hawkins,716.886,59,35.1,47.05,0.901407972,344.502
26441011009,4/7/2014,605105076 1 kWh,PROP,hawkins,1162.178999,59,37.9,48.45,0.92827958,423.477
26441011009,4/8/2014,605105076 1 kWh,PROP,hawkins,1266.659994,64.9,43,53.95,0.925925201,468.873
26441011009,4/9/2014,605105076 1 kWh,PROP,hawkins,1155.825,59,41,50,0.928760243,420.669
26441011009,4/10/2014,605105076 1 kWh,PROP,hawkins,1169.540999,60.1,34,47.05,0.931542392,412.083
26441011009,4/11/2014,605105076 1 kWh,PROP,hawkins,1203.389996,69.1,48,58.55,0.929827854,433.233
26441011009,4/12/2014,605105076 1 kWh,PROP,hawkins,725.679,69.1,48.9,59,0.905597757,341.586
26441011009,4/13/2014,605105076 1 kWh,PROP,hawkins,744.822,63,45,54,0.917081635,325.584
26441011009,4/14/2014,605105076 1 kWh,PROP,hawkins,1225.079993,75,57,66,0.932407899,428.625
26441011009,4/15/2014,605105076 1 kWh,PROP,hawkins,1248.227996,68,41,54.5,0.923322313,476.721
26441011009,4/16/2014,605105076 1 kWh,PROP,hawkins,1162.827,45,31.1,38.05,0.925270615,432.468
26441011009,4/17/2014,605105076 1 kWh,PROP,hawkins,1202.984997,39.9,32,35.95,0.930006667,431.631
26441011009,4/18/2014,605105076 1 kWh,PROP,hawkins,1176.479999,42.1,31.1,36.6,0.928120826,431.181
26441011009,4/19/2014,605105076 1 kWh,PROP,hawkins,672.39,63,37,50,0.901380014,324.054
26441011009,4/20/2014,605105076 1 kWh,PROP,hawkins,720.738,48,39,43.5,0.896418031,357.129
26441011009,4/21/2014,605105076 1 kWh,PROP,hawkins,747.369,69.1,36,52.55,0.899088615,364.518
26441011009,4/22/2014,605105076 1 kWh,PROP,hawkins,1254.806996,73,46.9,59.95,0.924932465,467.811
26441011009,4/23/2014,605105076 1 kWh,PROP,hawkins,1198.439996,57,46,51.5,0.927118507,439.272
26441011009,4/24/2014,605105076 1 kWh,PROP,hawkins,1167.506998,59,42.1,50.55,0.926571049,425.493
26441011009,4/25/2014,605105076 1 kWh,PROP,hawkins,1142.711999,57,43,50,0.923414049,430.083
26441011009,4/26/2014,605105076 1 kWh,PROP,hawkins,769.032,46.9,42.1,44.5,0.899115344,374.652
26441011009,4/27/2014,605105076 1 kWh,PROP,hawkins,785.457,50,41,45.5,0.902814635,374.085
26441011009,4/28/2014,605105076 1 kWh,PROP,hawkins,1198.817999,54,42.1,48.05,0.930132681,434.169
26441011009,4/29/2014,605105076 1 kWh,PROP,hawkins,1098.935997,44.1,42.1,43.1,0.937027993,369.513
26441011009,4/30/2014,605105076 1 kWh,PROP,hawkins,1129.067999,45,41,43,0.944595441,357.84
26441011009,5/1/2014,605105076 1 kWh,PROP,hawkins,1195.02,60.1,44.1,52.1,0.938749476,404.226
26441011009,5/2/2014,605105076 1 kWh,PROP,hawkins,1171.043997,69.1,50,59.55,0.931542417,411.552
26441011009,5/3/2014,605105076 1 kWh,PROP,hawkins,613.521,66.9,50,58.45,0.91672149,269.946
26441011009,5/4/2014,605105076 1 kWh,PROP,hawkins,745.461,62.1,50,56.05,0.904527955,348.777
26441011009,5/5/2014,605105076 1 kWh,PROP,hawkins,1203.830997,66,50,58,0.921759767,451.503
26441011009,5/6/2014,605105076 1 kWh,PROP,hawkins,1165.679997,64,46.9,55.45,0.933323313,404.1
26441011009,5/7/2014,605105076 1 kWh,PROP,hawkins,1226.222996,69.1,46.9,58,0.932176076,428.112
26441011009,5/8/2014,605105076 1 kWh,PROP,hawkins,1230.812995,62.1,48,55.05,0.93437217,427.068
26441011009,5/9/2014,605105076 1 kWh,PROP,hawkins,1184.723997,59,50,54.5,0.935599337,414.387
26441011009,5/10/2014,605105076 1 kWh,PROP,hawkins,775.053,80.1,57,68.55,0.915823299,342.792
26441011009,5/11/2014,605105076 1 kWh,PROP,hawkins,787.23,80.1,62.1,71.1,0.914010806,352.179
26441011009,5/12/2014,605105076 1 kWh,PROP,hawkins,1417.436981,84.9,52,68.45,0.929312618,519.948
26441011009,5/13/2014,605105076 1 kWh,PROP,hawkins,1380.383988,52,46,49,0.925494667,529.542
26441011009,5/14/2014,605105076 1 kWh,PROP,hawkins,1369.061993,63,46,54.5,0.926823847,514.323
26441011009,5/15/2014,605105076 1 kWh,PROP,hawkins,1468.790984,77,57,67,0.917472385,583.803
26441011009,5/16/2014,605105076 1 kWh,PROP,hawkins,1439.414982,73,59,66,0.914799247,577.899
26441011009,5/17/2014,605105076 1 kWh,PROP,hawkins,770.112,75,57.9,66.45,0.892009611,392.157
26441011009,5/18/2014,605105076 1 kWh,PROP,hawkins,766.449,63,52,57.5,0.906315681,352.296
26441011009,5/19/2014,605105076 1 kWh,PROP,hawkins,1296.86399,68,52,60,0.924844493,491.652
26441011009,5/20/2014,605105076 1 kWh,PROP,hawkins,1426.814989,69.1,53.1,61.1,0.925028021,543.087
26441011009,5/21/2014,605105076 1 kWh,PROP,hawkins,1327.661994,64.9,52,58.45,0.922106139,511.866
26441011009,5/22/2014,605105076 1 kWh,PROP,hawkins,1169.819999,59,51.1,55.05,0.925547896,436.572
26441011009,5/23/2014,605105076 1 kWh,PROP,hawkins,1116.413998,57,52,54.5,0.932809139,400.761
26441011009,5/24/2014,605105076 1 kWh,PROP,hawkins,862.101,61,52,56.5,0.922875771,360.054
26441011009,5/25/2014,605105076 1 kWh,PROP,hawkins,890.901,66,52,59,0.920376243,378.45
26441011009,5/26/2014,605105076 1 kWh,PROP,hawkins,887.85,79,55,67,0.919669826,382.356
26441011009,5/27/2014,605105076 1 kWh,PROP,hawkins,1306.934993,73.9,50,61.95,0.925612903,501.876
26441011009,5/28/2014,605105076 1 kWh,PROP,hawkins,1245.257999,50,44.1,47.05,0.920042476,481.644
26441011009,5/29/2014,605105076 1 kWh,PROP,hawkins,1252.835995,57.9,43,50.45,0.924042056,483.822
26441011009,5/30/2014,605105076 1 kWh,PROP,hawkins,1295.891995,66,48,57,0.920740104,508.995
26441011009,5/31/2014,605105076 1 kWh,PROP,hawkins,608.445,60.1,52,56.05,0.905221167,288.684
26441011009,6/1/2014,605105076 1 kWh,PROP,hawkins,610.335,66,51.1,58.55,0.908335146,284.04
26441011009,6/2/2014,605105076 1 kWh,PROP,hawkins,1367.33398,82.9,55.9,69.4,0.928171764,499.113
26441011009,6/3/2014,605105076 1 kWh,PROP,hawkins,1458.48598,72,57,64.5,0.914167361,586.485
26441011009,6/4/2014,605105076 1 kWh,PROP,hawkins,1323.971988,60.1,55,57.55,0.919509691,513.873
26441011009,6/5/2014,605105076 1 kWh,PROP,hawkins,1193.867992,60.1,57,58.55,0.930467378,428.382
26441011009,6/6/2014,605105076 1 kWh,PROP,hawkins,1192.085993,75.9,57,66.45,0.929593611,421.713
26441011009,6/7/2014,605105076 1 kWh,PROP,hawkins,787.779,80.1,61,70.55,0.895529997,394.083
26441011009,6/8/2014,605105076 1 kWh,PROP,hawkins,811.737,81,66.9,73.95,0.893945212,408.879
26441011009,6/9/2014,605105076 1 kWh,PROP,hawkins,1455.11098,81,66,73.5,0.915688649,576.297
26441011009,6/10/2014,605105076 1 kWh,PROP,hawkins,1412.43298,79,59,69,0.921929927,526.914
