Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26432071004,01/01/2014,605108098 1 kWh,SCH,COURT.ST,3721.97993,29.1,19.2,24.15,0.916311184,1632.69
26432071004,01/02/2014,605108098 1 kWh,SCH,COURT.ST,5471.609868,26.2,2.1,14.15,0.948807851,1764.959994
26432071004,01/03/2014,605108098 1 kWh,SCH,COURT.ST,4543.3499,14.2,2.1,8.15,0.941538153,1615.86
26432071004,01/04/2014,605108098 1 kWh,SCH,COURT.ST,3748.82993,27.1,2.1,14.6,0.931336326,1471.95
26432071004,01/05/2014,605108098 1 kWh,SCH,COURT.ST,3493.679919,37.9,24.3,31.1,0.932027396,1357.44
26432071004,01/06/2014,605108098 1 kWh,SCH,COURT.ST,5607.44989,55.9,29.1,42.5,0.940572816,1972.58998
26432071004,01/07/2014,605108098 1 kWh,SCH,COURT.ST,5789.939888,29.1,9.1,19.1,0.949595031,1846.169986
26432071004,01/08/2014,605108098 1 kWh,SCH,COURT.ST,5918.699869,22.1,7.2,14.65,0.950676622,1885.379981
26432071004,01/09/2014,605108098 1 kWh,SCH,COURT.ST,5909.189863,30.2,19.2,24.7,0.952052399,1858.469991
26432071004,01/10/2014,605108098 1 kWh,SCH,COURT.ST,5443.319877,37,18.1,27.55,0.946843347,1803.959994
26432071004,01/11/2014,605108098 1 kWh,SCH,COURT.ST,3852.299919,59,34,46.5,0.920601417,1634.88
26432071004,01/12/2014,605108098 1 kWh,SCH,COURT.ST,3513.299937,54,37,45.5,0.920811719,1487.4
26432071004,01/13/2014,605108098 1 kWh,SCH,COURT.ST,5498.699865,51.1,31.1,41.1,0.942356177,1896.809986
26432071004,01/14/2014,605108098 1 kWh,SCH,COURT.ST,5378.549891,50,44.1,47.05,0.942681552,1845.68999
26432071004,01/15/2014,605108098 1 kWh,SCH,COURT.ST,5389.019869,48,35.1,41.55,0.942353642,1862.069981
26432071004,01/16/2014,605108098 1 kWh,SCH,COURT.ST,5505.959871,39,33.1,36.05,0.944433069,1875.629981
26432071004,01/17/2014,605108098 1 kWh,SCH,COURT.ST,5341.25988,46,33.1,39.55,0.941004542,1861.499984
26432071004,01/18/2014,605108098 1 kWh,SCH,COURT.ST,3747.359909,37.9,32,34.95,0.930117642,1475.52
26432071004,01/19/2014,605108098 1 kWh,SCH,COURT.ST,3625.319926,35.1,30.2,32.65,0.935023493,1368.03
26432071004,01/20/2014,605108098 1 kWh,SCH,COURT.ST,3726.239909,41,26.2,33.6,0.917020059,1623.45
26432071004,01/21/2014,605108098 1 kWh,SCH,COURT.ST,5871.179875,26.2,11.1,18.65,0.951268542,1848.389986
26432071004,01/22/2014,605108098 1 kWh,SCH,COURT.ST,5889.089882,18.1,7.2,12.65,0.953085656,1835.669989
26432071004,01/23/2014,605108098 1 kWh,SCH,COURT.ST,6000.689871,22.1,6.3,14.2,0.951543701,1888.259992
26432071004,01/24/2014,605108098 1 kWh,SCH,COURT.ST,5786.159875,19.2,7.2,13.2,0.949020354,1850.609986
26432071004,01/25/2014,605108098 1 kWh,SCH,COURT.ST,3762.08992,37.9,15.3,26.6,0.932233566,1464.84
26432071004,01/26/2014,605108098 1 kWh,SCH,COURT.ST,3618.479931,26.2,16.2,21.2,0.936672066,1351.86
26432071004,01/27/2014,605108098 1 kWh,SCH,COURT.ST,5660.789877,46.9,21.2,34.05,0.945825354,1893.629981
26432071004,01/28/2014,605108098 1 kWh,SCH,COURT.ST,5787.569869,21.2,13.1,17.15,0.946414507,1892.339974
26432071004,01/29/2014,605108098 1 kWh,SCH,COURT.ST,5861.609885,27.1,15.3,21.2,0.948619007,1885.889983
26432071004,01/30/2014,605108098 1 kWh,SCH,COURT.ST,5840.219864,30.2,16.2,23.2,0.950476795,1867.799986
26432071004,01/31/2014,605108098 1 kWh,SCH,COURT.ST,5540.039884,43,22.1,32.55,0.94327875,1895.339986
26432071004,02/01/2014,605108098 1 kWh,SCH,COURT.ST,3648.059924,42.1,32,37.05,0.923900858,1512.15
26432071004,02/02/2014,605108098 1 kWh,SCH,COURT.ST,3510.869937,55,31.1,43.05,0.921535785,1476.18
26432071004,02/03/2014,605108098 1 kWh,SCH,COURT.ST,5413.139882,41,27.1,34.05,0.942031903,1855.37999
26432071004,02/04/2014,605108098 1 kWh,SCH,COURT.ST,5563.049887,35.1,23.2,29.15,0.943486333,1890.479983
26432071004,02/06/2014,605108098 1 kWh,SCH,COURT.ST,5670.989874,28.2,19.2,23.7,0.947172326,1874.459988
26432071004,02/07/2014,605108098 1 kWh,SCH,COURT.ST,5556.359864,30.2,19.2,24.7,0.944401868,1879.679984
26432071004,02/08/2014,605108098 1 kWh,SCH,COURT.ST,3766.139936,29.1,18.1,23.6,0.928995264,1505.4
26432071004,02/09/2014,605108098 1 kWh,SCH,COURT.ST,3777.119925,30.2,21.2,25.7,0.936316615,1418.61
26432071004,02/10/2014,605108098 1 kWh,SCH,COURT.ST,5864.999869,30.2,20.1,25.15,0.951319052,1868.969984
26432071004,02/11/2014,605108098 1 kWh,SCH,COURT.ST,5768.909876,25.2,14.2,19.7,0.950256049,1855.379985
26432071004,02/12/2014,605108098 1 kWh,SCH,COURT.ST,5702.789865,23.2,8.2,15.7,0.947924674,1856.609989
26432071004,02/13/2014,605108098 1 kWh,SCH,COURT.ST,5427.209887,36,21.2,28.6,0.944027993,1835.159988
26432071004,02/14/2014,605108098 1 kWh,SCH,COURT.ST,5362.619874,37,29.1,33.05,0.942432788,1832.519989
26432071004,02/15/2014,605108098 1 kWh,SCH,COURT.ST,3440.969929,35.1,27.1,31.1,0.917555219,1498.17
26432071004,02/16/2014,605108098 1 kWh,SCH,COURT.ST,3401.429932,33.1,23.2,28.15,0.924853236,1400.07
26432071004,02/17/2014,605108098 1 kWh,SCH,COURT.ST,3821.81993,29.1,14.2,21.65,0.918412045,1647.03
26432071004,02/18/2014,605108098 1 kWh,SCH,COURT.ST,5481.98987,35.1,14.2,24.65,0.944696597,1851.569982
26432071004,02/19/2014,605108098 1 kWh,SCH,COURT.ST,5370.329884,36,21.2,28.6,0.941414913,1876.529986
26432071004,02/20/2014,605108098 1 kWh,SCH,COURT.ST,5420.609889,48,33.1,40.55,0.942880868,1893.659979
26432071004,02/21/2014,605108098 1 kWh,SCH,COURT.ST,5109.719886,44.1,34,39.05,0.93680984,1842.26999
26432071004,02/22/2014,605108098 1 kWh,SCH,COURT.ST,3483.089926,50,34,42,0.912501333,1566.45
26432071004,02/23/2014,605108098 1 kWh,SCH,COURT.ST,3303.689934,52,34,43,0.909222399,1514.76
26432071004,02/24/2014,605108098 1 kWh,SCH,COURT.ST,5377.409897,45,24.3,34.65,0.938506128,1891.259987
26432071004,02/25/2014,605108098 1 kWh,SCH,COURT.ST,5488.739864,29.1,22.1,25.6,0.941554451,1892.969988
26432071004,02/26/2014,605108098 1 kWh,SCH,COURT.ST,5716.019866,32,16.2,24.1,0.943159458,1930.739987
26432071004,02/27/2014,605108098 1 kWh,SCH,COURT.ST,5654.819874,30.2,12.2,21.2,0.944906253,1902.959982
26432071004,02/28/2014,605108098 1 kWh,SCH,COURT.ST,5557.889884,25.2,10.2,17.7,0.94610866,1842.989982
26432071004,03/01/2014,605108098 1 kWh,SCH,COURT.ST,3804.269907,36,16.2,26.1,0.92963374,1504.56
26432071004,03/02/2014,605108098 1 kWh,SCH,COURT.ST,3454.829925,39.9,30.2,35.05,0.923077896,1436.31
26432071004,03/03/2014,605108098 1 kWh,SCH,COURT.ST,5696.069871,30.2,16.2,23.2,0.943156264,1920.029988
26432071004,03/04/2014,605108098 1 kWh,SCH,COURT.ST,5710.55987,31.1,12.2,21.65,0.946047351,1899.509988
26432071004,03/05/2014,605108098 1 kWh,SCH,COURT.ST,5586.239893,29.1,20.1,24.6,0.942881681,1913.129986
