Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26440191000,01/01/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,882,29.1,19.2,24.15,0.912351826,404.07
26440191000,01/02/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1317.63,26.2,2.1,14.15,0.903970663,621.15
26440191000,01/03/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1142.61,14.2,2.1,8.15,0.907905948,529.89
26440191000,01/04/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,988.05,27.1,2.1,14.6,0.903870757,476.28
26440191000,01/05/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1023.18,37.9,24.3,31.1,0.895982764,512.1
26440191000,01/06/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2087.15997,55.9,29.1,42.5,0.957526854,424.23
26440191000,01/07/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2192.429968,29.1,9.1,19.1,0.95783608,478.41
26440191000,01/08/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2256.089978,22.1,7.2,14.65,0.964765802,454.53
26440191000,01/09/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2229.119975,30.2,19.2,24.7,0.965017233,465.48
26440191000,01/10/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2009.039974,37,18.1,27.55,0.964121003,422.19
26440191000,01/11/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,834.6,59,34,46.5,0.926863125,340.26
26440191000,01/12/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,803.82,54,37,45.5,0.928748229,321.6
26440191000,01/13/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2130.11997,51.1,31.1,41.1,0.958727646,461.16
26440191000,01/14/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2123.789976,50,44.1,47.05,0.9648895,407.34
26440191000,01/15/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1978.829976,48,35.1,41.55,0.964252736,402.66
26440191000,01/16/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2120.789974,39,33.1,36.05,0.963253319,417.33
26440191000,01/17/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1887.089986,46,33.1,39.55,0.965247024,398.97
26440191000,01/18/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,828.81,37.9,32,34.95,0.916524302,364.14
26440191000,01/19/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,898.56,35.1,30.2,32.65,0.912489236,406.14
26440191000,01/20/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1013.97,41,26.2,33.6,0.898863684,502.02
26440191000,01/21/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2107.439973,26.2,11.1,18.65,0.958816517,469.92
26440191000,01/22/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1277.67,18.1,7.2,12.65,0.932319372,482.34
26440191000,01/23/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2273.699969,22.1,6.3,14.2,0.961075958,488.28
26440191000,01/24/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2191.07997,19.2,7.2,13.2,0.954244181,540.66
26440191000,01/25/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,960.72,37.9,15.3,26.6,0.913670302,434.07
26440191000,01/26/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,894.75,26.2,16.2,21.2,0.91144242,407.52
26440191000,01/27/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2182.709971,46.9,21.2,34.05,0.959285497,440.61
26440191000,01/28/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2254.769975,21.2,13.1,17.15,0.963522344,483.54
26440191000,01/29/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2183.339976,27.1,15.3,21.2,0.964626128,448.62
26440191000,01/30/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2163.449978,30.2,16.2,23.2,0.962555073,468.93
26440191000,02/02/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,817.08,55,31.1,43.05,0.931827656,318.87
26440191000,02/03/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2183.309974,41,27.1,34.05,0.965837326,434.1
26440191000,02/04/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2104.889975,35.1,23.2,29.15,0.970951319,399
26440191000,02/05/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1107.48,33.1,24.3,28.7,0.937335594,411.12
26440191000,02/07/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1982.969983,30.2,19.2,24.7,0.966608965,421.98
26440191000,02/08/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,932.04,29.1,18.1,23.6,0.91252125,420.81
26440191000,02/09/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,927.75,30.2,21.2,25.7,0.911298938,422.22
26440191000,02/10/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2162.279974,30.2,20.1,25.15,0.961620264,470.64
26440191000,02/11/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2147.339968,25.2,14.2,19.7,0.966816569,452.61
26440191000,02/12/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2126.729969,23.2,8.2,15.7,0.963872615,475.62
26440191000,02/13/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2131.919968,36,21.2,28.6,0.962073375,451.32
26440191000,02/14/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1964.549977,37,29.1,33.05,0.964958361,430.05
26440191000,02/15/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,930.45,35.1,27.1,31.1,0.917976983,404.76
26440191000,02/16/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,955.77,33.1,23.2,28.15,0.915887993,422.1
26440191000,02/17/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,946.92,29.1,14.2,21.65,0.909264663,436.83
26440191000,02/18/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1497.539999,35.1,14.2,24.65,0.946040233,482.22
26440191000,02/19/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1446.3,36,21.2,28.6,0.952833257,432.63
26440191000,02/20/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1442.61,48,33.1,40.55,0.952815396,422.49
26440191000,02/21/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1352.549999,44.1,34,39.05,0.950239278,409.17
26440191000,02/22/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,743.31,50,34,42,0.916693625,324.42
26440191000,02/23/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,760.05,52,34,43,0.915631899,335.43
26440191000,02/24/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2054.909966,45,24.3,34.65,0.960326997,451.17
26440191000,02/25/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2159.27997,29.1,22.1,25.6,0.964393806,455.04
26440191000,02/26/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2167.679976,32,16.2,24.1,0.965096135,454.44
26440191000,02/27/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2202.809966,30.2,12.2,21.2,0.967003604,456.72
26440191000,02/28/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2004.80998,25.2,10.2,17.7,0.964229556,441.03
26440191000,03/01/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,924.9,36,16.2,26.1,0.927029684,377.4
26440191000,03/02/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,1017.39,39.9,30.2,35.05,0.920690653,434.7
26440191000,03/03/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2262.239974,30.2,16.2,23.2,0.966255392,480.9
26440191000,03/04/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2201.429971,31.1,12.2,21.65,0.970891556,440.46
26440191000,03/05/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2100.629976,29.1,20.1,24.6,0.969195125,422.19
26440191000,03/06/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2139.719968,25.2,11.1,18.15,0.969696292,417.09
26440191000,03/07/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2017.46998,34,16.2,25.1,0.968294274,393.51
26440191000,03/08/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,818.61,55,27.1,41.05,0.923745653,340.44
26440191000,03/10/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2199.869965,44.1,28.2,36.15,0.96396224,472.32
26440191000,03/11/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2054.549989,60.1,34,47.05,0.965142094,414.63
26440191000,03/13/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2089.679974,37,17.2,27.1,0.96485124,457.41
26440191000,03/14/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,2012.669982,39,16.2,27.6,0.962760003,426.48
26440191000,03/15/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,802.86,57,37.9,47.45,0.920623285,341.25
26440191000,03/16/2014,605105506 1 kWh,SCH,DEVER.MCCORMICK,857.49,37,23.2,30.1,0.919875813,368.13
